Clave compendio,Clave Cucop,Descripción detallada,Codigo del expediente,Número del procedimiento o contratación,Dependencia,Número Unidad Compradora,Nombre Unidad Compradora,Fecha y hora de la publicación,Año del ejercicio presupuestal,Clave partidas,Proveedor,Número de contrato,Fecha de inicio,Fecha de fin,Importe Unitario sin Impuestos,Total Sin IVA,Total con IVA,uri,scrapped_day
,25501-0092,,E-2023-00042923,AA-51-GYN-051GYN032-N-113-2023,"Error::: Descripción detallada,Unidad de medida,Cantidad mínima,Cantidad máxima,,,",051GYN032,"HOSPITAL REGIONAL PUEBLA, COORDINACION DE RECURSOS MATERIALES",31/05/2023 16:46,2023,25501,QUIMICA KEICEL SA DE CV,HRP/CRM/AD/0165/2023,15/05/2023,29/12/2023,,,,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/c3e47b3e6db149ffb818faea998386f0/procedimiento,27/07/2024
,25501-0088,,E-2023-00042923,AA-51-GYN-051GYN032-N-113-2023,"Error::: Descripción detallada,Unidad de medida,Cantidad mínima,Cantidad máxima,,,",051GYN032,"HOSPITAL REGIONAL PUEBLA, COORDINACION DE RECURSOS MATERIALES",31/05/2023 16:46,2023,25501,QUIMICA KEICEL SA DE CV,HRP/CRM/AD/0165/2023,15/05/2023,29/12/2023,,,,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/c3e47b3e6db149ffb818faea998386f0/procedimiento,27/07/2024
,25501-0088,,E-2023-00042923,AA-51-GYN-051GYN032-N-113-2023,"Error::: Descripción detallada,Unidad de medida,Cantidad mínima,Cantidad máxima,,,",051GYN032,"HOSPITAL REGIONAL PUEBLA, COORDINACION DE RECURSOS MATERIALES",31/05/2023 16:46,2023,25501,QUIMICA KEICEL SA DE CV,HRP/CRM/AD/0165/2023,15/05/2023,29/12/2023,,,,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/c3e47b3e6db149ffb818faea998386f0/procedimiento,27/07/2024
,25501-0088,,E-2023-00042923,AA-51-GYN-051GYN032-N-113-2023,"Error::: Descripción detallada,Unidad de medida,Cantidad mínima,Cantidad máxima,,,",051GYN032,"HOSPITAL REGIONAL PUEBLA, COORDINACION DE RECURSOS MATERIALES",31/05/2023 16:46,2023,25501,QUIMICA KEICEL SA DE CV,HRP/CRM/AD/0165/2023,15/05/2023,29/12/2023,,,,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/c3e47b3e6db149ffb818faea998386f0/procedimiento,27/07/2024
,25501-0088,,E-2023-00042923,AA-51-GYN-051GYN032-N-113-2023,"Error::: Descripción detallada,Unidad de medida,Cantidad mínima,Cantidad máxima,,,",051GYN032,"HOSPITAL REGIONAL PUEBLA, COORDINACION DE RECURSOS MATERIALES",31/05/2023 16:46,2023,25501,QUIMICA KEICEL SA DE CV,HRP/CRM/AD/0165/2023,15/05/2023,29/12/2023,,,,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/c3e47b3e6db149ffb818faea998386f0/procedimiento,27/07/2024
,25501-0088,,E-2023-00042923,AA-51-GYN-051GYN032-N-113-2023,"Error::: Descripción detallada,Unidad de medida,Cantidad mínima,Cantidad máxima,,,",051GYN032,"HOSPITAL REGIONAL PUEBLA, COORDINACION DE RECURSOS MATERIALES",31/05/2023 16:46,2023,25501,QUIMICA KEICEL SA DE CV,HRP/CRM/AD/0165/2023,15/05/2023,29/12/2023,,,,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/c3e47b3e6db149ffb818faea998386f0/procedimiento,27/07/2024
,25501-0088,,E-2023-00042923,AA-51-GYN-051GYN032-N-113-2023,"Error::: Descripción detallada,Unidad de medida,Cantidad mínima,Cantidad máxima,,,",051GYN032,"HOSPITAL REGIONAL PUEBLA, COORDINACION DE RECURSOS MATERIALES",31/05/2023 16:46,2023,25501,QUIMICA KEICEL SA DE CV,HRP/CRM/AD/0165/2023,15/05/2023,29/12/2023,,,,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/c3e47b3e6db149ffb818faea998386f0/procedimiento,27/07/2024
,25501-0088,,E-2023-00042923,AA-51-GYN-051GYN032-N-113-2023,"Error::: Descripción detallada,Unidad de medida,Cantidad mínima,Cantidad máxima,,,",051GYN032,"HOSPITAL REGIONAL PUEBLA, COORDINACION DE RECURSOS MATERIALES",31/05/2023 16:46,2023,25501,QUIMICA KEICEL SA DE CV,HRP/CRM/AD/0165/2023,15/05/2023,29/12/2023,,,,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/c3e47b3e6db149ffb818faea998386f0/procedimiento,27/07/2024
,25501-0090,"GNWP02500 MILLIPORE MEMBRANA DE NYLON. HIDROFILA 0.2 UM, 25 MM, BLANCA, SUPERFICIE LISA, CAT GNWP02500 MCA MERCK MILLOPRE,",E-2023-00009675,AA-11-L4J-011L4J998-N-19-2023,011L4J - CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL,011L4J998,DEPARTAMENTO DE ADQUISICIONES EN IRAPUATO,24/02/2023 11:39,2023,25501,INDUSTRIAL KEM DE LEON SA DE CV,PED 489,23/02/2023,20/04/2023,"$3,421.00","$10,263.00","$11,905.08",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/c99472393dc44d678511f2912672fc75/procedimiento,27/07/2024
,25501-0090,"NY100900 MILLIPORE FILTRO DE MALLA DE NYLON, HIDROFILO, 10 UM, 90 MM, CAT NY1009000 MCA MERCK MILLIPORE",E-2023-00009675,AA-11-L4J-011L4J998-N-19-2023,011L4J - CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL,011L4J998,DEPARTAMENTO DE ADQUISICIONES EN IRAPUATO,24/02/2023 11:39,2023,25501,INDUSTRIAL KEM DE LEON SA DE CV,PED 489,23/02/2023,20/04/2023,"$6,530.00","$19,590.00","$22,724.40",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/c99472393dc44d678511f2912672fc75/procedimiento,27/07/2024
,25401-0556,ALBUMINA BOVINA AL 22% FCO CON 10 ML,E-2023-00084823,AA-51-GYN-051GYN033-N-32-2023,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN033,SUBDELEGACIÓN DE ADMINISTRACIÓN,28/09/2023 13:01,2023,"25101,25401,25501",JOSE OLVERA HERNANDEZ,DEO/DRMO/AD/066/2023,23/05/2023,31/07/2023,$424.00,"$3,392.00","$3,934.72",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/51209a701dda4194b760347a89155590/procedimiento,27/07/2024
,25101-0007,"ANTIGENO PARATIFICO ""H"" FCO 5 ML",E-2023-00084823,AA-51-GYN-051GYN033-N-32-2023,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN033,SUBDELEGACIÓN DE ADMINISTRACIÓN,28/09/2023 13:01,2023,"25101,25401,25501",JOSE OLVERA HERNANDEZ,DEO/DRMO/AD/066/2023,23/05/2023,31/07/2023,$186.00,"$2,790.00","$3,236.40",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/51209a701dda4194b760347a89155590/procedimiento,27/07/2024
,25101-0037,FENOL CRISTALES FRASCO 500 GR,E-2023-00084823,AA-51-GYN-051GYN033-N-32-2023,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN033,SUBDELEGACIÓN DE ADMINISTRACIÓN,28/09/2023 13:01,2023,"25101,25401,25501",JOSE OLVERA HERNANDEZ,DEO/DRMO/AD/066/2023,23/05/2023,31/07/2023,"$1,033.00","$1,033.00","$1,198.28",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/51209a701dda4194b760347a89155590/procedimiento,27/07/2024
,25101-0037,"ANTIGENO PARATIFICO ""B"" FCO 5 ML",E-2023-00084823,AA-51-GYN-051GYN033-N-32-2023,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN033,SUBDELEGACIÓN DE ADMINISTRACIÓN,28/09/2023 13:01,2023,"25101,25401,25501",JOSE OLVERA HERNANDEZ,DEO/DRMO/AD/066/2023,23/05/2023,31/07/2023,$186.00,"$2,604.00","$3,020.64",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/51209a701dda4194b760347a89155590/procedimiento,27/07/2024
,25101-0037,REACCIONES FEBRILES EQUIPO C/6 FCOS 5 ML. MAS CONTRLES POSITIVO Y NEGATIVO,E-2023-00084823,AA-51-GYN-051GYN033-N-32-2023,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN033,SUBDELEGACIÓN DE ADMINISTRACIÓN,28/09/2023 13:01,2023,"25101,25401,25501",JOSE OLVERA HERNANDEZ,DEO/DRMO/AD/066/2023,23/05/2023,31/07/2023,$906.00,"$15,402.00","$17,866.32",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/51209a701dda4194b760347a89155590/procedimiento,27/07/2024
,25101-0007,"ANTIGENO PARATIFICO ""O"" FCO 5 ML",E-2023-00084823,AA-51-GYN-051GYN033-N-32-2023,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN033,SUBDELEGACIÓN DE ADMINISTRACIÓN,28/09/2023 13:01,2023,"25101,25401,25501",JOSE OLVERA HERNANDEZ,DEO/DRMO/AD/066/2023,23/05/2023,31/07/2023,$186.00,"$2,790.00","$3,236.40",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/51209a701dda4194b760347a89155590/procedimiento,27/07/2024
,25101-0037,"ANTIGENO PARATIFICO ""A"" FCO 5 ML",E-2023-00084823,AA-51-GYN-051GYN033-N-32-2023,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN033,SUBDELEGACIÓN DE ADMINISTRACIÓN,28/09/2023 13:01,2023,"25101,25401,25501",JOSE OLVERA HERNANDEZ,DEO/DRMO/AD/066/2023,23/05/2023,31/07/2023,$186.00,"$2,604.00","$3,020.64",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/51209a701dda4194b760347a89155590/procedimiento,27/07/2024
,25101-0037,PROTES OX19 FCO 5 ML,E-2023-00084823,AA-51-GYN-051GYN033-N-32-2023,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN033,SUBDELEGACIÓN DE ADMINISTRACIÓN,28/09/2023 13:01,2023,"25101,25401,25501",JOSE OLVERA HERNANDEZ,DEO/DRMO/AD/066/2023,23/05/2023,31/07/2023,$186.00,"$2,976.00","$3,452.16",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/51209a701dda4194b760347a89155590/procedimiento,27/07/2024
,25101-0037,REACTIVO ROSA DE BENGALA PARA BRUCELA ENV C/50 PBAS,E-2023-00084823,AA-51-GYN-051GYN033-N-32-2023,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN033,SUBDELEGACIÓN DE ADMINISTRACIÓN,28/09/2023 13:01,2023,"25101,25401,25501",JOSE OLVERA HERNANDEZ,DEO/DRMO/AD/066/2023,23/05/2023,31/07/2023,$755.00,$755.00,$875.80,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/51209a701dda4194b760347a89155590/procedimiento,27/07/2024
,25101-0063,AGUA BIDESTILADA ENVASE DE 20 LTS,E-2023-00084823,AA-51-GYN-051GYN033-N-32-2023,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN033,SUBDELEGACIÓN DE ADMINISTRACIÓN,28/09/2023 13:01,2023,"25101,25401,25501",JOSE OLVERA HERNANDEZ,DEO/DRMO/AD/066/2023,23/05/2023,31/07/2023,$252.00,"$9,072.00","$10,523.52",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/51209a701dda4194b760347a89155590/procedimiento,27/07/2024
,25101-0037,"PRUEBA PARA LA DETECCION DE ANTICUERPOS DENGUE, CAJA 10 PRUBAS",E-2023-00084823,AA-51-GYN-051GYN033-N-32-2023,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN033,SUBDELEGACIÓN DE ADMINISTRACIÓN,28/09/2023 13:01,2023,"25101,25401,25501",JOSE OLVERA HERNANDEZ,DEO/DRMO/AD/066/2023,23/05/2023,31/07/2023,$530.70,"$38,741.10","$44,939.67",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/51209a701dda4194b760347a89155590/procedimiento,27/07/2024
,25101-0037,TROPONINA CAJA C/10 PRUEBAS (CASSETTE),E-2023-00084823,AA-51-GYN-051GYN033-N-32-2023,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN033,SUBDELEGACIÓN DE ADMINISTRACIÓN,28/09/2023 13:01,2023,"25101,25401,25501",JOSE OLVERA HERNANDEZ,DEO/DRMO/AD/066/2023,23/05/2023,31/07/2023,"$1,102.80","$5,514.00","$6,396.24",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/51209a701dda4194b760347a89155590/procedimiento,27/07/2024
,25501-0035,PORTA OBJETOS 26X76 MM CAJA CON 50,E-2023-00084823,AA-51-GYN-051GYN033-N-32-2023,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN033,SUBDELEGACIÓN DE ADMINISTRACIÓN,28/09/2023 13:01,2023,"25101,25401,25501",JOSE OLVERA HERNANDEZ,DEO/DRMO/AD/066/2023,23/05/2023,31/07/2023,$42.00,"$11,340.00","$13,154.40",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/51209a701dda4194b760347a89155590/procedimiento,27/07/2024
